2020-04-17 14:29:46.820 [main] INFO  ServerStarter - The program started.
2020-04-17 14:29:46.823 [main] INFO  ServerStarter - The port reader started.
2020-04-17 14:29:46.823 [main] INFO  ServerStarter - To start the server, enter the port or 'exit' to exit the program.
2020-04-17 14:29:50.306 [main] INFO  ServerWorker - Server port: 6665
2020-04-17 14:29:50.306 [main] WARN  ServerWorker - Path file.json does not exist.
2020-04-17 14:29:50.306 [main] INFO  ServerWorker - Create a new file.
2020-04-17 14:29:50.307 [main] INFO  ServerWorker - File file.json discovered.
2020-04-17 14:29:50.307 [main] INFO  ServerWorker - File is D:\java\ITMO_RobotSystem_lab6\file.json
2020-04-17 14:29:50.307 [main] INFO  ServerWorker - Server initialization.
2020-04-17 14:29:50.310 [main] INFO  ServerWorker - Load collection.
2020-04-17 14:29:50.311 [main] WARN  Loader - The file is empty. Only adding items to the collection is possible.
2020-04-17 14:29:50.312 [main] INFO  ServerWorker - Server started on port 6665.
2020-04-17 14:30:01.114 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.118 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.119 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.120 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.190 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.190 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.190 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.191 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.191 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.191 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.191 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.191 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.225 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.225 [Thread-2] INFO  ServerWorker - Command complete.
